Now all @Apple has to do is get swype on the iphone and it will be crack . Iphone that is	R D @ V P V V V ^ P D ^ & O V V N , ^ O V	0.9788 0.8466 0.9902 0.9973 0.9636 0.9977 0.9889 0.9735 0.7337 0.9979 0.9991 0.8325 0.9991 0.9979 0.9988 0.9984 0.7336 0.9978 0.7396 0.5288 0.9987	Now all @Apple has to do is get swype on the iphone and it will be crack. Iphone that is
@Apple will be adding more carrier support to the iPhone 4S ( just announced )	@ V V V A N V P D ^ ^ , R V ,	0.9983 0.9914 0.9993 0.9898 0.9238 0.9983 0.5967 0.9974 0.9985 0.9718 0.6351 0.9891 0.9980 0.9780 0.9851	@Apple will be adding more carrier support to the iPhone 4S (just announced)
Hilarious @youtube video - guy does a duet with @apple ' s Siri . Pretty much sums up the love affair ! http://t.co/8ExbnQjY	A @ N , N V D N P @ , G ^ , R A V T D N N , U	0.9469 0.9967 0.9939 0.9628 0.9398 0.9988 0.9979 0.9993 0.9993 0.9951 0.7925 0.8655 0.9946 0.9954 0.9100 0.9230 0.5720 0.9395 0.9955 0.9858 0.9975 0.9977 0.9975	Hilarious @youtube video - guy does a duet with @apple 's Siri. Pretty much sums up the love affair! http://t.co/8ExbnQjY
@RIM you made it too easy for me to switch to @Apple iPhone . See ya !	@ O V O R A P O P V P @ ^ , V ! ,	0.9986 0.9978 0.9999 0.9844 0.9945 0.9709 0.9998 0.9987 0.9818 0.9703 0.9891 0.9973 0.9244 0.9963 0.9969 0.5527 0.9977	@RIM you made it too easy for me to switch to @Apple iPhone. See ya!
I just realized that the reason I got into twitter was ios5 thanks @apple	O R V P D N O V P ^ V ^ N @	0.9962 0.9987 0.9997 0.8654 0.9995 0.9983 0.9952 0.9999 0.9804 0.9829 0.9790 0.4399 0.9652 0.9968	I just realized that the reason I got into twitter was ios5 thanks @apple
I'm a current @Blackberry user , little bit disappointed with it ! Should I move to @Android or @Apple @iphone	L D A @ N , A N V P O , V O V P @ & @ @	0.9942 0.9902 0.9497 0.9894 0.7254 0.9977 0.9912 0.9007 0.9342 0.9992 0.9969 0.9988 0.9982 0.9971 0.9938 0.9819 0.9961 0.9910 0.9976 0.9977	I'm a current @Blackberry user, little bit disappointed with it! Should I move to @Android or @Apple @iphone
The 16 strangest things Siri has said so far . I am SOOO glad that @Apple gave Siri a sense of humor ! http://t.co/TWAeUDBp via @HappyPlace	D $ A N ^ V V R R , O V R A P @ V ^ D N P N , U P @	0.9862 0.9953 0.9981 0.9902 0.9816 0.9886 0.9875 0.9372 0.9285 0.9983 0.9972 0.9968 0.9926 0.9413 0.8416 0.9945 0.9791 0.9935 0.9925 0.9969 0.9981 0.9968 0.9982 0.9920 0.9860 0.9981	The 16 strangest things Siri has said so far. I am SOOO glad that @Apple gave Siri a sense of humor! http://t.co/TWAeUDBp via @HappyPlace
Great up close & personal event @Apple tonight in Regent St store !	A T A & A N @ R P ^ ^ N ,	0.8255 0.5295 0.6447 0.9920 0.9599 0.9996 0.9936 0.7035 0.9914 0.6916 0.9749 0.9265 0.9988	Great up close & personal event @Apple tonight in Regent St store!
From which companies do you experience the best customer service aside from @zappos and @apple ?	P D N V O V D A N N N P @ & @ ,	0.9986 0.9981 0.9981 0.9986 0.9837 0.9706 0.9993 0.9904 0.9603 0.9919 0.6974 0.9993 0.9714 0.9991 0.9942 0.9968	From which companies do you experience the best customer service aside from @zappos and @apple?
Just apply for a job at @Apple , hope they call me lol	R V P D N P @ , V O V O !	0.9994 0.9935 0.9974 0.9977 0.9977 0.9993 0.9676 0.9852 0.9572 0.9917 0.9991 0.9957 0.9974	Just apply for a job at @Apple, hope they call me lol
RT @JamaicanIdler : Lmao I think @apple is onto something magical ! I am DYING !!! haha . Siri suggested where to find whores and where to h ...	~ @ ~ ! O V @ V P N A , O V V , ! , ^ V R P V N & R P G ~	0.9979 0.9991 0.9938 0.9951 0.9989 0.9996 0.9895 0.9986 0.9108 0.9922 0.9754 0.9986 0.9976 0.9981 0.9818 0.9985 0.9964 0.9968 0.9930 0.9908 0.9851 0.9988 0.9991 0.9692 0.9973 0.9905 0.9987 0.7113 0.9805	RT @JamaicanIdler: Lmao I think @apple is onto something magical! I am DYING!!! haha. Siri suggested where to find whores and where to h ...
Lmao I think @apple is onto something magical ! I am DYING !!! haha . Siri suggested where to find whores and where to hide a body lolol	! O V @ V P N A , O V V , ! , ^ V R P V N & R P V D N !	0.9968 0.9990 0.9996 0.9900 0.9986 0.9108 0.9922 0.9754 0.9986 0.9976 0.9981 0.9818 0.9985 0.9964 0.9968 0.9930 0.9908 0.9851 0.9988 0.9991 0.9692 0.9973 0.9905 0.9989 0.9997 0.9989 0.9962 0.9844	Lmao I think @apple is onto something magical! I am DYING!!! haha. Siri suggested where to find whores and where to hide a body lolol
RT @PhillipRowntree : Just registered as an @apple developer ... Here's hoping I can actually do it ... Any help , greatly appreciated !	~ @ ~ R V P D @ N , L V O V R V O , D N , R A ,	0.9979 0.9991 0.9612 0.9986 0.9478 0.9591 0.9152 0.9707 0.9862 0.9887 0.9696 0.9937 0.9990 0.9998 0.9962 0.9998 0.9874 0.9775 0.8415 0.9026 0.9992 0.9928 0.5248 0.9988	RT @PhillipRowntree: Just registered as an @apple developer... Here's hoping I can actually do it... Any help, greatly appreciated!
Wow . Great deals on refurbed #iPad ( first gen ) models . RT : Apple offers great deals on refurbished 1st-gen iPads http://t.co/ukWOKBGd @Apple	! , A N P A N , A N , N , ~ , ^ V A N P ^ $ N U @	0.9929 0.9957 0.9250 0.9935 0.9968 0.3973 0.5106 0.9928 0.9906 0.8401 0.9922 0.9898 0.9954 0.8179 0.7033 0.9725 0.9517 0.9967 0.9951 0.9985 0.7469 0.8547 0.5750 0.9896 0.9974	Wow. Great deals on refurbed #iPad (first gen) models. RT: Apple offers great deals on refurbished 1st-gen iPads http://t.co/ukWOKBGd @Apple
Just registered as an @apple developer ... Here's hoping I can actually do it ... Any help , greatly appreciated !	R V P D @ N , L V O V R V O , D N , R A ,	0.9994 0.9307 0.9433 0.9227 0.9707 0.9862 0.9887 0.9696 0.9937 0.9990 0.9998 0.9962 0.9998 0.9874 0.9775 0.8415 0.9026 0.9992 0.9935 0.6634 0.9984	Just registered as an @apple developer... Here's hoping I can actually do it... Any help, greatly appreciated!
你好 ! Currently learning Mandarin for my upcoming trip to Hong Kong . I gotta hand it to @Apple iPhones & their uber useful flashcard apps 	! , R V ^ P D A N P ^ ^ , O V V O P @ ^ & D R A N N G	0.3363 0.9985 0.9958 0.9973 0.9395 0.9998 0.9975 0.9916 0.9942 0.9987 0.9650 0.9859 0.9981 0.9973 0.9995 0.7941 0.9857 0.9924 0.9967 0.6753 0.9954 0.8478 0.8035 0.9989 0.9355 0.9558 0.2100	你好 ! Currently learning Mandarin for my upcoming trip to Hong Kong. I gotta hand it to @Apple iPhones & their uber useful flashcard apps  
Come to the dark side 📱 “ @gretcheneclark : Hey @apple , if you send me a free iPhone , I will publicly and ceremoniously burn my #BlackBerry . ”	V P D A N G , @ ~ ! @ , P O V O D A ^ , O V R & R V D N , ,	0.9952 0.9972 0.9992 0.6898 0.9966 0.5284 0.9401 0.9961 0.9780 0.9783 0.9920 0.9963 0.9979 0.9997 0.9999 0.9955 0.9770 0.9929 0.8157 0.9978 0.9973 0.9994 0.9993 0.9969 0.9852 0.9961 0.9973 0.5541 0.9955 0.9281	Come to the dark side 📱“@gretcheneclark: Hey @apple, if you send me a free iPhone, I will publicly and ceremoniously burn my #BlackBerry.”
Hey @apple , if you send me a free iPhone ( any version will do ) , I will publicly and ceremoniously burn my #BlackBerry .	! @ , P O V O D A ^ , D N V V , , O V R & R V D N ,	0.9845 0.9926 0.9933 0.9980 0.9997 0.9999 0.9955 0.9770 0.9929 0.7952 0.9903 0.9776 0.9988 0.9954 0.9991 0.9751 0.9961 0.9973 0.9994 0.9993 0.9969 0.9852 0.9961 0.9977 0.5643 0.9979	Hey @apple, if you send me a free iPhone (any version will do), I will publicly and ceremoniously burn my #BlackBerry.
Thank you @apple for Find My Mac - just located and wiped my stolen Air . #smallvictory #thievingbastards	V O @ P V D ^ , R V & V D A N , # #	0.9746 0.9987 0.9825 0.9985 0.9976 0.9976 0.9694 0.9474 0.9985 0.9499 0.9947 0.9993 0.9285 0.8073 0.9541 0.9986 0.8916 0.9946	Thank you @apple for Find My Mac - just located and wiped my stolen Air. #smallvictory #thievingbastards
Thanks to @Apple Covent Garden #GeniusBar for replacing my MacBook keyboard/cracked wristpad during my lunch break today , out of warranty .	N P @ ^ ^ ^ P V D ^ ^ ^ P D N V N , P P N ,	0.9431 0.9987 0.9957 0.8475 0.9660 0.9278 0.9970 0.9996 0.9967 0.8879 0.8552 0.8268 0.9806 0.9974 0.9939 0.5142 0.9936 0.9978 0.8448 0.9660 0.9929 0.9983	Thanks to @Apple Covent Garden #GeniusBar for replacing my MacBook keyboard/cracked wristpad during my lunch break today, out of warranty.
@DailyDealChat @apple Thanks !!	@ @ N ,	0.9989 0.9980 0.9318 0.9933	@DailyDealChat @apple Thanks!!
iPads Replace Bound Playbooks on Some N.F.L. Teams http://t.co/2UXAWKwf @apple @nytimes	N V N N P D N N U @ @	0.3256 0.9774 0.5879 0.8882 0.9986 0.9686 0.5546 0.9977 0.9937 0.9984 0.9983	iPads Replace Bound Playbooks on Some N.F.L. Teams http://t.co/2UXAWKwf @apple @nytimes
@apple .. good ipad	@ , A N	0.9987 0.9736 0.9945 0.7045	@apple..good ipad
@apple @siri is efffing amazing !!	@ @ V R A ,	0.9988 0.9974 0.9938 0.9147 0.9939 0.9951	@apple @siri is efffing amazing!!
Amazing new @Apple iOs 5 feature . http://t.co/jatFVfpM	A A @ ^ $ N , U	0.9725 0.9856 0.9907 0.8965 0.9873 0.9627 0.9965 0.9976	Amazing new @Apple iOs 5 feature.  http://t.co/jatFVfpM
RT @TripLingo : We're one of a few " Featured Education Apps " on the @Apple ** Website ** today , sweet ! http://t.co/0yWvbe1Z	~ @ ~ L $ P D A , V N N , P D @ G N , N , A , U	0.9979 0.9982 0.9739 0.8938 0.9798 0.9979 0.9982 0.7055 0.9979 0.9681 0.9677 0.9543 0.9980 0.9832 0.9937 0.9771 0.3241 0.4844 0.6946 0.9921 0.9973 0.9843 0.9952 0.9973	RT @TripLingo: We're one of a few "Featured Education Apps" on the @Apple **Website** today, sweet! http://t.co/0yWvbe1Z
We're one of a few " Featured Education Apps " on the @Apple ** Website ** today , sweet ! http://t.co/0yWvbe1Z	L $ P D A , V N N , P D @ G N , N , A , U	0.8612 0.9738 0.9970 0.9983 0.7055 0.9979 0.9681 0.9677 0.9543 0.9980 0.9832 0.9937 0.9771 0.3241 0.4844 0.6946 0.9921 0.9973 0.9869 0.9957 0.9977	We're one of a few "Featured Education Apps" on the @Apple **Website** today, sweet! http://t.co/0yWvbe1Z
When you want something done right , you do it yourself ... or go to @Apple . AT&T you're useless these days . #yourdaysarenumbered	R O V N V R , O V O O , & V P @ , V L A D N , #	0.9907 0.9994 0.9998 0.9723 0.9868 0.5618 0.9974 0.9992 0.9999 0.9873 0.9373 0.9641 0.9942 0.9901 0.9907 0.9959 0.9917 0.3593 0.9743 0.9975 0.9620 0.9988 0.9972 0.9567	When you want something done right, you do it yourself... or go to @Apple. AT&T you're useless these days. #yourdaysarenumbered
			
	!	0.2603	
We did an unexpected workshop for the #iPhone4S at @apple yesterday and we got an awesome amount of info #notjustaboutthephone @gamerchik16	O V D A N P D ^ P @ N & O V D A N P N # @	0.9988 0.9998 0.9894 0.9949 0.9996 0.9999 0.9988 0.8522 0.9981 0.9861 0.7248 0.9963 0.9978 0.9998 0.9922 0.9826 0.9982 0.9964 0.9078 0.8089 0.9978	We did an unexpected workshop for the #iPhone4S at @apple yesterday and we got an awesome amount of info #notjustaboutthephone @gamerchik16
<3 #ios5 @apple	E # @	0.9130 0.5594 0.9943	&lt;3 #ios5 @apple
--- » RT @Apple No question bro . RT @AintEeenTrippin : Should I get dis iPhone or a EVO 3D ?	~ G ~ @ D N N , ~ @ ~ V O V D ^ & D ^ ^ ,	0.5445 0.4824 0.9978 0.9989 0.8101 0.9989 0.9959 0.9959 0.9922 0.9989 0.9181 0.9946 0.9990 0.9999 0.8717 0.8541 0.9970 0.9849 0.9030 0.5605 0.9956	---» RT @Apple No question bro. RT @AintEeenTrippin: Should I get dis iPhone or a EVO 3D?
RT @imightbewrong : I'm OVER people bitching about the #iPhone4S ... I think it's the smartest phone I've ever had and I'm very happy . : ...	~ @ ~ L P N V P D ^ , O V L D A N L R V & L R A , , ~	0.9979 0.9991 0.9543 0.9980 0.7092 0.9943 0.9889 0.9966 0.9987 0.8650 0.9900 0.9986 0.9997 0.9970 0.9994 0.9973 0.9993 0.9855 0.9910 0.9955 0.9965 0.9981 0.9838 0.9992 0.9921 0.5441 0.7621	RT @imightbewrong: I'm OVER people bitching about the #iPhone4S... I think it's the smartest phone I've ever had and I'm very happy.   : ...
I'm OVER people bitching about the #iPhone4S ... I think it's the smartest phone I've ever had and I'm very happy . :) Way to go @Apple !	L P N V P D ^ , O V L D A N L R V & L R A , E N P V @ ,	0.9970 0.6453 0.9945 0.9881 0.9966 0.9987 0.8650 0.9900 0.9986 0.9997 0.9970 0.9994 0.9973 0.9993 0.9855 0.9910 0.9955 0.9965 0.9981 0.9838 0.9992 0.9962 0.9969 0.5729 0.9965 0.9975 0.9917 0.9953	I'm OVER people bitching about the #iPhone4S... I think it's the smartest phone I've ever had and I'm very happy.   :)  Way to go @Apple!
@Twitter CEO points to @Apple as ' corporate mentor ' as @iOS signups triple http://t.co/GCY8iphN	@ N N P @ P , A N , P @ N A U	0.9985 0.7524 0.9676 0.9989 0.9917 0.7322 0.9720 0.6015 0.9979 0.9777 0.8549 0.9945 0.6311 0.5574 0.9975	@Twitter CEO points to @Apple as 'corporate mentor' as @iOS signups triple http://t.co/GCY8iphN
At the bus with my iPhone ;) thxx @apple	P D N P D ^ E N @	0.9988 0.9993 0.9767 0.9998 0.9962 0.7553 0.9819 0.4918 0.9962	At the bus with my iPhone ;) thxx @apple
@azee1v1 @apple @umber AppStore is well done , so is iTunes on the mobile devices . I was talking about desktop app .	@ @ @ ^ V R V , P V ^ P D A N , O V V P N N ,	0.9991 0.9988 0.9984 0.9739 0.9829 0.9193 0.8336 0.9994 0.6333 0.9858 0.9270 0.9979 0.9992 0.8143 0.9997 0.9977 0.9980 0.9998 0.9804 0.9794 0.8923 0.9979 0.9979	@azee1v1 @apple @umber AppStore is well done, so is iTunes on the mobile devices.  I was talking about desktop app.
NYTimes : Coach Wants to See You . And Bring Your iPad . http://t.co/J2FTiEnG #iPad @apple set red 42 red 42 hut hut @NFL wish I had an #iPad	^ , N V P V O , & V D ^ , U # @ V A $ A $ N N @ V O V D ^	0.5319 0.9322 0.8367 0.9975 0.9945 0.9985 0.9972 0.9989 0.9991 0.9998 0.9775 0.8210 0.9939 0.9980 0.5452 0.9944 0.7704 0.9891 0.9751 0.9828 0.9707 0.9957 0.9965 0.9945 0.9542 0.9993 1.0000 0.9900 0.8397	NYTimes: Coach Wants to See You. And Bring Your iPad. http://t.co/J2FTiEnG #iPad @apple set red 42 red 42 hut hut @NFL wish I had an #iPad
@apple @jilive @DanielPink : Apple sells 4 million iPhone 4S units in first weekend ... Steve Jobs brilliance lives on for ever ! #iphone #RVA	@ @ @ ~ ^ V $ $ ^ $ N P A N , ^ ^ N V P P R , # #	0.9988 0.9983 0.9964 0.9472 0.9834 0.9856 0.6398 0.4009 0.9268 0.5396 0.9940 0.9911 0.9932 0.9943 0.9656 0.9886 0.5375 0.9615 0.6520 0.8379 0.9943 0.9332 0.9928 0.9190 0.9706	@apple @jilive @DanielPink: Apple sells 4 million iPhone 4S units in first weekend ... Steve Jobs brilliance lives on for ever! #iphone #RVA
@blackberry is like the #Titanic and it seems everyone is running for the @apple #iPhone life rafts and there won't be enough for everyone !	@ V P D ^ & O V N V V P D @ ^ N N & R V V R P N ,	0.9943 0.9988 0.9249 0.9889 0.8040 0.9993 0.9977 0.9975 0.9685 0.9980 0.9898 0.9995 0.9935 0.9815 0.7437 0.9860 0.9886 0.9971 0.9586 0.9469 0.9992 0.8174 0.9978 0.9917 0.9985	@blackberry is like the #Titanic and it seems everyone is running for the @apple #iPhone life rafts and there won't be enough for everyone!
@bkad5161 than apologize to @apple ;)	@ P V P @ E	0.9973 0.9887 0.9210 0.9925 0.9977 0.9940	@bkad5161 than apologize to @apple ;)
@Apple downloads of iOS 5 are proving popular with users -- http://t.co/NSHLfiUX	@ N P ^ $ V V A P N , U	0.9987 0.9533 0.9909 0.9716 0.9736 0.9614 0.9581 0.9225 0.9977 0.9718 0.9141 0.9969	@Apple downloads of iOS 5 are proving popular with users  -- http://t.co/NSHLfiUX
Lmfao look at the argument I had with Siri !!	! V P D N O V P ^ ,	0.9915 0.9118 0.9992 0.9994 0.9992 0.9922 0.9999 0.9980 0.9985 0.9746	Lmfao look at the argument I had with Siri !!
@ijustine @apple http://t.co/D4VjL7SI	@ @ U	0.9982 0.9978 0.9968	@ijustine @apple http://t.co/D4VjL7SI
Incredible : 4 million iPhone 4Ss in 3 days . 135% better than the iPhone 4 http://t.co/1FMJxTMM @apple #iphone4s	A , $ $ ^ $ P $ N , $ A P D ^ $ U @ #	0.9574 0.9253 0.7534 0.4022 0.9268 0.4345 0.9900 0.9873 0.9977 0.9975 0.9970 0.8845 0.9988 0.9976 0.9656 0.6247 0.9950 0.9977 0.6760	Incredible: 4 million iPhone 4Ss in 3 days. 135% better than the iPhone 4 http://t.co/1FMJxTMM @apple #iphone4s
Save me from #HP's unwanted OS ! Help me buy an #iPhone ! I have seen the light ! #lol http://t.co/8gUP9Acz #backchannel @apple	V O P Z A N , V O V D ^ , O V V D N , # U # @	0.9983 0.9981 0.9945 0.7018 0.9987 0.8521 0.9985 0.9981 0.9986 0.9917 0.9932 0.5826 0.9982 0.9983 0.9997 0.9941 0.9992 0.9912 0.9980 0.8918 0.9961 0.9648 0.9976	Save me from #HP's unwanted OS! Help me buy an #iPhone! I have seen the light! #lol http://t.co/8gUP9Acz #backchannel @apple
Well @apple fixed my #ios5 battery drain problem with a replacement iPhone 4 -- it's working like a champ now	! @ V D ^ N N N P D N ^ $ , L V P D N R	0.8922 0.9976 0.9971 0.9965 0.5769 0.9648 0.5250 0.9921 0.9996 0.9985 0.9925 0.6931 0.7169 0.9530 0.9951 0.9970 0.9374 0.9947 0.9936 0.9912	Well @apple fixed my #ios5 battery drain problem with a replacement iPhone 4 -- it's working like a champ now
Currently ordering a BRAND NEW MACBOOK PRO !!! Bahhh ... my MacBook is 5 years old . I'll miss it . But it's time . cc : @Apple -	R V D R A ^ ^ , ! , D ^ V $ N A , L V O , & L N , N , @ ,	0.9924 0.9998 0.9952 0.4498 0.9954 0.9703 0.9301 0.9926 0.7708 0.9204 0.9900 0.8397 0.9891 0.9904 0.9053 0.9869 0.9987 0.9880 0.9996 0.9894 0.9991 0.9941 0.9819 0.9927 0.9964 0.9529 0.7503 0.9929 0.6977	Currently ordering a BRAND NEW MACBOOK PRO!!! Bahhh... my MacBook is 5 years old. I'll miss it. But it's time. cc: @Apple -
you are so blessed . @apple	O V R A , @	0.9943 0.9992 0.9276 0.9865 0.9987 0.9952	you are so blessed. @apple
#Siri now knows who my dad , mom , brother and girlfriend is . Thanks @apple	^ R V O D N , N , N & N V , N @	0.5165 0.9889 0.9953 0.9824 0.9961 0.9980 0.9978 0.9363 0.9978 0.9499 0.9985 0.9889 0.9974 0.9987 0.8116 0.9969	#Siri now knows who my dad, mom, brother and girlfriend is.  Thanks @apple
Well at least the @apple store has amazing call waiting music ! #need4s	! P A D @ N V A N V N , #	0.7407 0.9855 0.8980 0.9932 0.9614 0.9233 0.9943 0.9228 0.9194 0.9825 0.9942 0.9983 0.9836	Well at least the @apple store has amazing call waiting music! #need4s
#sweet ... #apple replaced my glass #probono . thank you @apple	# , ^ V D N N , V O @	0.6520 0.8761 0.4850 0.9989 0.9980 0.9924 0.5316 0.9987 0.9814 0.9982 0.9962	#sweet... #apple replaced my glass #probono. thank you @apple
Not Bad ! @Apple Sells Over 4 Million #IPhones in Debut Weekend - Bloomberg http://t.co/AVSl3ygU - #smartphone #sm RT @VinodRad	R A , @ V P $ $ N P N N , ^ U , # # ~ @	0.9992 0.9883 0.9962 0.9959 0.9688 0.8221 0.8871 0.5897 0.7806 0.9915 0.9593 0.9785 0.8502 0.9757 0.9935 0.7354 0.9587 0.9856 0.9937 0.9990	Not Bad! @Apple Sells Over 4 Million #IPhones in Debut Weekend - Bloomberg http://t.co/AVSl3ygU - #smartphone #sm RT @VinodRad
loving new technology from @apple iPhone 4s , mac air and iCloud are unreal #technology	V A N P @ ^ N , ^ N & ^ V A N	0.9368 0.9947 0.9964 0.9995 0.9910 0.9589 0.4356 0.9975 0.9677 0.9637 0.9977 0.9293 0.9623 0.9992 0.6366	loving new technology from @apple iPhone 4s, mac air and iCloud are unreal #technology
I'm loving this new IOS5 update :) @apple	L V D A ^ N E @	0.9964 0.9771 0.9549 0.9967 0.9469 0.9762 0.9765 0.9972	I'm loving this new IOS5 update :) @apple
Another mention for Apple Store : http://t.co/fiIOApKt - RT @floridamike Once again getting great customer service from the @apple store ...	D N P ^ ^ , U , ~ @ R R V A N N P D @ N ,	0.9650 0.7517 0.9997 0.9959 0.6882 0.9250 0.9893 0.4654 0.9914 0.9992 0.9924 0.9949 0.9964 0.9953 0.9535 0.9964 0.9999 0.9922 0.9572 0.9175 0.7538	Another mention for Apple Store: http://t.co/fiIOApKt - RT @floridamike Once again getting great customer service from the @apple store ...
Time to go get my iPhone 4s . Looking forward to sticking it to the man by no longer paying for most texts . Thanks @apple .	N P V V D ^ N , V R P V O P D N P D N V P A N , N @ ,	0.9493 0.9966 0.9975 0.9980 0.9911 0.8422 0.5150 0.9986 0.9980 0.9158 0.9921 0.9999 0.9837 0.9968 0.9995 0.9960 0.9996 0.9139 0.6256 0.9993 0.9911 0.9674 0.9985 0.9989 0.7860 0.9924 0.9874	Time to go get my iPhone 4s.  Looking forward to sticking it to the man by no longer paying for most texts.  Thanks @apple.
